LineNum,Prices,Estimates,ClassicResidual,KalmanResidual,CorrectedKalmanResidual
25,98.6600000000,98.4167038575,0.2382083443,1436.9411667487,1402.9081864521,
26,99.2100000000,98.6467174323,0.5581473784,3436.9284502969,3652.4471134849,
27,95.7900000000,99.1966798717,-3.4119738379,-18821.9420183520,-18879.1605239384,
28,96.7800000000,95.7770189933,0.9986493102,5786.5371942416,5682.7880738222,
29,98.5200000000,96.7669747920,1.7483195945,11016.2796646656,11081.3579715203,
30,97.5000000000,98.5068182632,-1.0122117883,-6071.6615521084,-6086.2931342516,
31,97.7300000000,97.4868987957,0.2380967444,1442.7806530690,1304.9615464618,
32,99.9700000000,97.7168814133,2.2480340327,14643.0349612886,14593.2049837896,
33,100.7300000000,99.9566612700,0.7676463443,5072.9565763431,5236.5240683599,
34,98.2600000000,100.7165505350,-2.4624053486,-15650.8663652479,-15642.3021759387,
35,98.1200000000,98.2467610310,-0.1322993118,-833.3984593544,-832.6124749519,
36,98.1000000000,98.1067959233,-0.0122409443,-76.8921761371,-84.4299373407,
37,98.2100000000,98.0868118424,0.1177796632,741.5972568419,804.8924342197,
38,97.2200000000,98.1968090978,-0.9822298458,-5964.6909645346,-5931.9934590629,
39,96.6900000000,97.2069094577,-0.5220247562,-3109.8273885122,-3038.4237449707,
40,95.5300000000,96.6769789412,-1.1519146406,-6593.1146542473,-6546.6878234899,
41,94.7500000000,95.5171114883,-0.7716857798,-4303.3303950031,-4413.3929518354,
42,96.6300000000,94.7372168079,1.8884637551,11376.4906407763,11359.1833237244,
43,96.9000000000,96.6170597600,0.2779906314,1691.0066077535,1759.9565877652,
44,95.8000000000,96.8870189463,-1.0920642334,-6415.9943794231,-6391.9104789083,
45,95.4000000000,95.7871149078,-0.3918770829,-2273.4541693320,-2272.1277010459,
46,95.3700000000,95.3871649560,-0.0218083077,-126.6688889223,-188.9579259082,
47,96.3900000000,95.3571801443,1.0281795467,6202.9160835759,6208.0534845702,
48,96.3000000000,96.3770871919,-0.0820403935,-493.7119670026,-625.2545435845,
49,98.4200000000,96.2870838359,2.1279720418,13644.4408122678,13719.9640413415,
50,97.2600000000,98.4068709140,-1.1523520406,-7257.0226454372,-7353.9043458942,
51,98.7600000000,97.2469476041,1.5076940705,9897.5042636895,9863.8544055654,
52,99.2600000000,98.7467984027,0.5074957813,3340.3189466958,3395.7583483598,
53,98.4200000000,99.2467242103,-0.8324855307,-5429.9028933082,-5330.2273805358,
54,96.9200000000,98.4067846516,-1.4924820989,-9412.9796608643,-9467.9041209596,
55,97.7600000000,96.9069337393,0.8476553866,5498.0068548877,5407.2435422460,
56,99.1300000000,97.7468752372,1.3775088599,9260.1163399629,9223.7725850236,
57,99.6600000000,99.1167410314,0.5373474365,3616.6046438871,3636.3972001808,
58,99.3600000000,99.6466672900,-0.2926215770,-1956.0997778529,-2146.9498395397,
59,102.2300000000,99.3466760833,2.8774062486,15106.5762108429,14980.2361998895,
60,104.7100000000,102.2163887693,2.4897122438,10703.0287553969,10719.3954150470,
61,104.3000000000,104.6960972952,-0.3978449060,-1820.3369821669,-1768.7758926940,
62,103.1200000000,104.2860688331,-1.1686280923,-6106.1413432226,-6180.5983919075,
63,104.5900000000,103.1061532094,1.4798400373,7193.8239573562,7148.4485600758,
64,105.5600000000,104.5760102632,0.9807300399,4487.8547968665,4467.0266736036,
65,106.0300000000,105.5458924780,0.4815058817,2147.9816752396,2021.7901612023,
66,109.0600000000,106.0158181373,3.0418549638,11185.6287253681,11153.2366775672,
67,110.0100000000,109.0454991314,0.9647999467,3317.5059006325,3345.2535220130,
68,109.1100000000,109.9953443044,-0.8840347758,-3374.2329475283,-3298.0564319539,
69,106.9400000000,109.0953823387,-2.1557410273,-9873.4435706089,-9900.4189539036,
70,107.5600000000,106.9255828059,0.6316377025,2891.7187841145,2880.5917980741,
71,107.8100000000,107.5455484958,0.2617103608,1206.2448830916,1170.3982515020,
72,108.6400000000,107.7955290351,0.8416582751,3866.1081274299,3841.5723174564,
73,109.2100000000,108.6254464024,0.5817886375,2670.3860384746,2721.4511853382,
74,107.9900000000,109.1953766096,-1.2081403888,-5779.4920850126,-5746.2045438290,
75,107.2300000000,107.9754797815,-0.7487513638,-3619.0024535653,-3610.0256968554,
