LineNum,Prices,Estimates,ClassicResidual,KalmanResidual,CorrectedKalmanResidual
43,96.9000000000,96.6209699637,0.2789275582,1515.9690595542,1577.5195629083,
44,95.8000000000,96.8909912735,-1.0910877690,-5826.8792394498,-5805.0342075313,
45,95.4000000000,95.7909128635,-0.3910328755,-2075.8463017189,-2074.6765632386,
46,95.3700000000,95.3908879065,-0.0210167949,-111.5361734628,-168.4940771681,
47,96.3900000000,95.3608879979,1.0289831252,5547.1025509706,5551.6384840537,
48,96.3000000000,96.3809559787,-0.0810620732,-436.4373900908,-554.1775302649,
49,98.4200000000,96.2909514849,2.1289409774,11864.5576473459,11930.1323567031,
50,97.2600000000,98.4110973720,-1.1511721788,-6288.2072577093,-6372.3090091450,
51,98.7600000000,97.2510120449,1.5089003812,8454.8605625767,8426.0638424271,
52,99.2600000000,98.7511182277,0.5088103372,2877.3908273860,2924.9518578033,
53,98.4200000000,99.2511563213,-0.8312262067,-4629.8314685873,-4544.7883453523,
54,96.9200000000,98.4110931221,-1.4911672567,-8094.2280166438,-8141.5703772912,
55,97.7600000000,96.9109885271,0.8489253679,4672.6301379884,4595.5307645636,
56,99.1300000000,97.7510439424,1.3788782867,7772.3492384806,7741.7928242607,
57,99.6600000000,99.1211375904,0.5387909388,3067.2956764610,3083.9586687292,
58,99.3600000000,99.6511761883,-0.2912493428,-1649.0291537682,-1810.7552496159,
59,102.2300000000,99.3511543195,2.8787721115,17226.9915614304,17083.0550162860,
60,104.7100000000,102.2213651314,2.4885393368,15753.2546893575,15777.5903323824,
61,104.3000000000,104.7015757598,-0.4017319718,-2517.3345716459,-2446.5375506082,
62,103.1200000000,104.2915346952,-1.1716800466,-7135.4196315015,-7222.1195868369,
63,104.5900000000,103.1114256616,1.4784640411,9320.7126543112,9262.0140183215,
64,105.5600000000,104.5815501296,0.9782926250,6323.6532936107,6294.4368490430,
65,106.0300000000,105.5516367330,0.4781627515,3131.1524223591,2946.1469377844,
66,109.0600000000,106.0216787073,3.0380934710,21746.9996821442,21684.4169890904,
67,110.0100000000,109.0519748053,0.9576153082,7091.9294387312,7152.2663856372,
68,109.1100000000,110.0020770851,-0.8925753942,-6394.3233102158,-6250.9102485821,
69,106.9400000000,109.1019680016,-2.1623873652,-14408.0877099794,-14447.1059878452,
70,107.5600000000,106.9317296031,0.6280223007,4262.5291931400,4246.2722010173,
71,107.8100000000,107.5517860592,0.2579211318,1764.4361524149,1711.4710600230,
72,108.6400000000,107.8018069376,0.8378771219,5885.5409944635,5848.2829371760,
73,109.2100000000,108.6318853963,0.5777304902,4137.6530352221,4217.6101011576,
74,107.9900000000,109.2019394249,-1.2123782652,-8331.6744371419,-8283.6390803004,
75,107.2300000000,107.9818092867,-0.7521455410,-5049.6004175019,-5036.9394320743,
76,107.0200000000,107.2217327518,-0.2020165286,-1348.1775593711,-1156.3632125338,
77,103.9800000000,107.0117101005,-3.0319843947,-18602.2033288257,-18589.1170602365,
78,103.7500000000,103.9714431465,-0.2215285750,-1352.1672264879,-1312.5297625680,
79,103.0700000000,103.7414243293,-0.6715036514,-4036.5678381638,-4002.5589382787,
80,102.4800000000,103.0613740879,-0.5814293152,-3451.0344944525,-3475.8102078613,
81,102.9000000000,102.4713327425,0.4286304954,2567.4876652179,2590.9022371942,
82,102.4900000000,102.8913587646,-0.4014130732,-2383.6487251865,-2538.5582064451,
83,105.1900000000,102.4813305925,2.7086273958,17074.0718936640,17186.6411915364,
84,103.3200000000,105.1815045878,-1.8616588349,-11214.4103101362,-11048.2098944444,
85,100.5000000000,103.3113683094,-2.8114265660,-15952.4374046404,-15901.8951809028,
86,99.6000000000,100.4911912994,-0.8911463780,-4974.4789885611,-4982.8197144640,
87,99.7400000000,99.5911442623,0.1489190443,833.4795357155,1010.2745501519,
88,96.6300000000,99.7311510151,-3.1010919663,-16459.2255643285,-16421.6901471679,
89,95.9400000000,96.6210077546,-0.6808991550,-3577.6199072284,-3586.3283085644,
90,96.0900000000,95.9309837797,0.1591275499,838.0339049926,805.8413484363,
91,96.6700000000,96.0809901904,0.5891206876,3129.4979123397,3142.2027420139,
92,96.4300000000,96.6610112088,-0.2309032609,-1222.3784595474,-1332.6285496091,
93,98.4500000000,96.4210039214,2.0291054509,11077.7920051201,11107.3196939424,
94,97.9100000000,98.4410752315,-0.5309857889,-2873.8986822908,-2851.6865347795,
95,97.5000000000,97.9010547363,-0.4009572544,-2156.3753112212,-2004.1409106272,
96,94.7700000000,97.4910404114,-2.7209376451,-14043.3873731266,-13975.9104476886,
97,93.5300000000,94.7609513612,-1.2308211987,-6249.2053114900,-6146.6100058965,
98,91.6500000000,93.5209221581,-1.8707914390,-9280.0360897587,-9176.6190313285,
99,89.7500000000,91.6408860461,-1.8907640392,-9180.3509389776,-9341.0171621737,
100,92.7600000000,89.7408612060,3.0192403714,15151.5679103699,15067.3734466876,
101,94.3200000000,92.7508999908,1.5692400228,8029.4272868300,7984.0977016951,
102,95.1500000000,94.3109307847,0.8392146334,4342.0453705108,4430.3941733154,
103,93.5300000000,95.1409504043,-1.6108070392,-8156.3889363628,-8196.2562702338,
104,94.2600000000,93.5209168783,0.7392335233,3778.4726814358,3670.6554063776,
105,96.2600000000,94.2509320731,2.0092185459,10548.9947370344,10522.3793107659,
106,96.7400000000,96.2509742281,0.4891649019,2586.5274392307,2565.8425603234,
107,97.1100000000,96.7309869320,0.3791455362,2016.0928108387,1913.6333073960,
108,98.9900000000,97.1009970648,1.8891290063,10341.2938589012,10528.1102139629,
109,95.6600000000,98.9810468009,-3.3209606311,-17244.3523823241,-17265.4384417928,
110,96.0400000000,95.6509559173,0.3892090430,2031.9796442600,2171.9727928938,
111,93.4900000000,96.0309647584,-2.5408043535,-12811.7321781079,-12738.3416015043,
112,92.1300000000,93.4809190854,-1.3507317045,-6699.7710683182,-6642.8717471730,
113,91.0700000000,92.1209049051,-1.0507149585,-5149.4254787003,-5162.2871045275,
114,91.3000000000,91.0608986433,0.2392891681,1175.8500103351,1164.0604977878,
115,91.5100000000,91.2909026232,0.2192878860,1080.2249976334,955.3445280063,
116,93.8500000000,91.5009064180,2.3492863195,11891.3093107557,11989.3828588846,
117,92.0400000000,93.8409253569,-1.8007314596,-8915.0665200535,-8910.1845416378,
118,91.9400000000,92.0309097373,-0.0907065950,-448.6106188903,-305.0180681174,
119,89.3000000000,91.9309115102,-2.6307071728,-12636.4763277808,-12627.2842662116,
120,89.1200000000,89.2909044669,-0.1707065677,-818.5927566577,-796.4401243008,
121,88.7000000000,89.1109078079,-0.4107095676,-1961.5075730315,-2086.3675257816,
122,91.0400000000,88.6909119920,2.3492842637,11488.2074585400,11318.7757765833,
123,94.2400000000,91.0309093245,3.2093066020,16273.8234296888,16190.0709365697,
124,95.8000000000,94.2309201945,1.5692902477,8120.1613237112,8079.8456007973,
125,96.5400000000,95.7909348642,0.7492548994,3917.1937335193,3980.4422003115,
126,95.3700000000,96.5309442040,-1.1607694415,-5971.0896733043,-6057.7051050565,
127,96.9800000000,95.3609323970,1.6192677127,8515.1982349481,8506.5709709233,
128,97.1300000000,96.9709487139,0.1592187365,839.2211739162,731.8230317756,
129,99.1200000000,97.1209513857,1.9992116229,10856.4541134605,10874.0636899622,
130,98.7900000000,99.1109768865,-0.3208758400,-1733.5414876702,-1649.1600556539,
