LineNum,Prices,Estimates,ClassicResidual,KalmanResidual,CorrectedKalmanResidual
133,96.2700000000,97.0609204086,-0.7901246094,-3947.0762943976,-3948.0946463931,
134,96.2800000000,96.2609946216,0.0196250062,98.9033814062,142.0376279194,
135,95.4500000000,96.2709931375,-0.8204586364,-4164.8632777299,-4052.4327092782,
136,93.3500000000,95.4410702068,-2.0906098337,-10402.1987595440,-10220.8560462672,
137,90.0000000000,93.3412660592,-3.3406317884,-15256.7721226052,-15215.4700001656,
138,89.1800000000,89.9915788575,-0.8101604659,-3654.8183153559,-3690.0873860450,
139,89.8700000000,89.1716550977,0.6998701117,3256.4072228231,3255.9078995122,
140,89.8700000000,89.8615901242,0.0096438849,45.3662046243,108.6331920331,
141,88.6600000000,89.8615896973,-1.2004613566,-5480.4041133818,-5434.8442889337,
142,87.7700000000,88.6517024763,-0.8803038647,-3934.7212018941,-3934.2018597007,
143,87.7500000000,87.7617853440,-0.0101963470,-46.0917579474,-109.0061391422,
144,88.9700000000,87.7417868333,1.2296914203,5854.2752609445,5751.0825175757,
145,90.9100000000,88.9616723075,1.9493306632,9787.1429598790,9650.4380869607,
146,93.4100000000,90.9014904053,2.5090418742,12745.4503344030,12806.2265688915,
147,92.2900000000,93.4012560890,-1.1108150618,-5761.8900490718,-5657.3555084711,
148,90.4400000000,92.2813605354,-1.8411138636,-9572.7120963507,-9570.9113765353,
149,90.4000000000,90.4315333249,-0.0313137754,-164.0306099446,-191.6939075214,
150,90.8700000000,90.3915367327,0.4786177086,2541.1709873373,2549.4431131584,
151,90.7200000000,90.8614924132,-0.1414534066,-755.0306360334,-752.5873622008,
152,90.6700000000,90.7115061342,-0.0415129884,-223.0014204009,-142.9170860895,
153,89.3200000000,90.6615105041,-1.3415718580,-7014.4554544840,-7063.8961797705,
154,90.1600000000,89.3116365830,0.8485296071,4562.6172610370,4428.9944998680,
155,92.4200000000,90.1515576534,2.2683723553,12508.7084723481,12452.4055820118,
156,93.3600000000,92.4113457794,0.9483708275,5193.4845989960,5238.9297443360,
157,92.5800000000,93.3512574850,-0.7714846403,-4293.9723604665,-4209.0512925269,
158,91.1700000000,92.5713302378,-1.4016925937,-7840.4907470507,-7780.5383413656,
159,90.1900000000,91.1614619941,-0.9718606746,-5393.3829224336,-5491.4699053429,
160,91.7900000000,90.1815535027,1.6081150699,9117.8058445299,9182.5387627042,
161,90.7400000000,91.7814034264,-1.0419149529,-5910.7490499974,-5924.9859516864,
162,90.9600000000,90.7315015089,0.2279874010,1303.5382111561,1391.7246793383,
163,89.5600000000,90.9514806697,-1.3920557813,-7786.0364478239,-7740.1293876444,
164,88.8200000000,89.5516115530,-0.7320048321,-4032.9670529694,-3938.9961320276,
165,87.3100000000,88.8116806380,-1.5019508474,-7861.4670959078,-7906.1418980540,
166,88.0500000000,87.3018218505,0.7483280698,4047.2038077912,4095.4479660274,
167,87.2600000000,88.0417523379,-0.7818714789,-4136.3691408411,-4075.2776478990,
168,86.2500000000,87.2518261337,-1.0017650965,-5115.5991644996,-5125.5627429838,
169,86.4100000000,86.2419205458,0.1684322023,873.3391387705,841.7303280954,
170,86.9300000000,86.4019053742,0.5283198947,2819.5232767095,2918.1657880928,
171,85.3300000000,86.9218564848,-1.5918677384,-7939.6957509744,-7926.1469080387,
172,85.0900000000,85.3220061886,-0.2314588871,-1152.9917112210,-1161.0957304437,
173,85.2200000000,85.0820285033,0.1385276444,700.5510406658,658.0935445052,
174,85.9300000000,85.2120161622,0.7184127882,3775.0614720827,3846.6006826375,
175,84.7600000000,85.9219494895,-1.1618358463,-5826.0828651017,-5804.6443638106,
176,84.3900000000,84.7520589439,-0.3615615292,-1798.7268880730,-1751.2450976993,
177,83.5800000000,84.3820934584,-0.8015315242,-3865.5722414695,-3946.1851652974,
178,84.9800000000,83.5721692010,1.4086516585,7261.2064035385,7289.2955237815,
179,84.5100000000,84.9720378960,-0.4617691175,-2356.6897857507,-2368.0478152570,
180,84.6900000000,84.5020817932,0.1882670949,976.0727574909,923.1919347632,
181,85.5500000000,84.6820647950,0.8681554126,4678.4043575360,4609.6783102200,
182,86.6400000000,85.5419840871,1.0979261800,6136.9691703260,6125.5129790146,
183,86.8100000000,86.6318818296,0.1777396145,1003.1872338448,885.5800153090,
184,88.6300000000,86.8018657747,1.8276798100,10567.8225402073,10678.6410375200,
185,86.9400000000,88.6216951176,-1.6823445359,-9733.4524419798,-9896.0327302390,
186,89.4100000000,86.9318533511,2.4775038125,14163.6864576299,14128.7628752185,
187,89.9500000000,89.4016217879,0.5478127614,3086.0046448612,3052.4100382724,
188,90.4800000000,89.9415710706,0.5379766120,2990.0535996571,2985.8695939638,
189,90.5400000000,90.4715212921,0.0681324054,380.0719442392,472.1393859921,
190,89.0500000000,90.5315155578,-1.4818924157,-8607.5882753941,-8650.9791617974,
191,89.7100000000,89.0416550746,0.6676570509,3861.4188543388,3866.7245119339,
192,89.6200000000,89.7015931218,-0.0822526513,-478.4960887448,-510.0700664312,
193,90.1000000000,89.6116014536,0.4876941722,2835.6409234685,3091.7533622688,
194,86.2100000000,90.0915563724,-3.8822605243,-22213.2298412079,-22248.7974228814,
195,86.7400000000,86.2019208210,0.5375236564,3115.7867699744,3038.9415482722,
