iteration,omega,theta,xi,rho,likelihood
256,0.139103,1.49712,0.237367,-0.182419,-32181.4
257,0.139103,1.49712,0.237367,-0.182419,-32181.4
258,0.139103,1.49712,0.237367,-0.182419,-32181.4
259,0.139103,1.49712,0.237367,-0.182419,-32181.4
260,0.139103,1.49712,0.237367,-0.182419,-32181.4
261,0.139103,1.49712,0.237367,-0.182419,-32181.4
262,0.139103,1.49712,1.23737,-0.182419,-22992.6
263,0.139103,1.49712,-1.38067,-0.182419,-32229.6
264,0.139103,1.49712,-0.57591,-0.182419,-31993.9
265,0.139103,1.49712,0.237367,-0.182419,-32181.4
266,0.139103,1.49712,0.619333,-0.182419,-21258.8
267,0.139103,1.49712,-0.0732772,-0.182419,-32099.6
268,0.139103,1.49712,0.0852048,-0.182419,-32153.2
269,0.139103,1.49712,0.348704,-0.182419,-32159.2
270,0.139103,1.49712,0.224755,-0.182419,-32180.9
271,0.139103,1.49712,0.241759,-0.182419,-32181.5
272,0.139103,1.49712,0.245261,-0.182419,-32181.5
273,0.139103,1.49712,0.244988,-0.182419,-32181.5
274,0.139103,1.49712,0.244961,-0.182419,-32181.5
275,0.139103,1.49712,0.244962,-0.182419,-32181.5
276,0.139103,1.49712,0.244962,-0.182419,-32181.5
277,0.139103,1.49712,0.244962,-0.182419,-32181.5
278,0.139103,1.49712,0.244962,-0.182419,-32181.5
279,0.139103,1.49712,0.244962,-0.182419,-32181.5
280,0.139103,1.49712,0.244962,-0.182419,-32181.5
281,0.139103,1.49712,0.244962,-0.182419,-32181.5
282,0.139103,1.49712,0.244962,-0.182419,-32181.5
283,0.139103,1.49712,0.244962,-0.182419,-32181.5
284,0.139103,1.49712,0.244962,-0.182419,-32181.5
285,0.139103,1.49712,0.244962,-0.182419,-32181.5
286,0.139103,1.49712,0.244962,-0.182419,-32181.5
287,0.139103,1.49712,0.244962,-0.182419,-32181.5
288,0.139103,1.49712,0.244962,-0.182419,-32181.5
289,0.139103,1.49712,0.244962,-0.182419,-32181.5
290,0.139103,1.49712,0.244962,-0.182419,-32181.5
291,0.139103,1.49712,0.244962,-0.182419,-32181.5
292,0.139103,1.49712,0.244962,-0.182419,-32181.5
293,0.139103,1.49712,0.244962,-0.182419,-32181.5
294,0.139103,1.49712,0.244962,0.817581,-30977.1
295,0.139103,1.49712,0.244962,-1.80045,nan
296,0.139103,1.49712,0.244962,-0.182419,-32181.5
297,0.139103,1.49712,0.244962,-0.800453,-10470.6
298,0.139103,1.49712,0.244962,0.199547,-32030.2
299,0.139103,1.49712,0.244962,0.00299013,-32142.9
300,0.139103,1.49712,0.244962,-0.198493,-32180.7
301,0.139103,1.49712,0.244962,-0.171091,-32181.6
302,0.139103,1.49712,0.244962,-0.174137,-32181.6
303,0.139103,1.49712,0.244962,-0.174061,-32181.6
304,0.139103,1.49712,0.244962,-0.174075,-32181.6
305,0.139103,1.49712,0.244962,-0.174075,-32181.6
306,0.139103,1.49712,0.244962,-0.174075,-32181.6
307,0.139103,1.49712,0.244962,-0.174075,-32181.6
308,0.139103,1.49712,0.244962,-0.174075,-32181.6
309,0.139103,1.49712,0.244962,-0.174075,-32181.6
310,0.139103,1.49712,0.244962,-0.174075,-32181.6
311,0.139103,1.49712,0.244962,-0.174075,-32181.6
312,0.139103,1.49712,0.244962,-0.174075,-32181.6
313,0.139103,1.49712,0.244962,-0.174075,-32181.6
314,0.139103,1.49712,0.244962,-0.174075,-32181.6
315,0.139103,1.49712,0.244962,-0.174075,-32181.6
316,0.139103,1.49712,0.244962,-0.174075,-32181.6
317,0.139103,1.49712,0.244962,-0.174075,-32181.6
318,0.139103,1.49712,0.244962,-0.174075,-32181.6
319,0.141656,1.56364,0.252557,-0.165732,-32184.1
320,0.139103,1.49712,0.244962,-0.174075,-32181.6
321,0.141656,1.56364,0.252557,-0.165732,-32184.1
322,0.145788,1.67129,0.264847,-0.152231,-32183.3
323,0.141656,1.56364,0.252557,-0.165732,-32184.1
324,0.143235,1.60476,0.257252,-0.160575,-32184.4
325,0.14421,1.63017,0.260153,-0.157388,-32184.2
326,0.143147,1.60249,0.256992,-0.16086,-32184.4
327,0.143132,1.60208,0.256946,-0.160911,-32184.4
328,0.143133,1.60211,0.256949,-0.160907,-32184.4
329,0.143133,1.60211,0.256949,-0.160907,-32184.4
330,0.143133,1.60211,0.256949,-0.160907,-32184.4
331,0.143133,1.60211,0.256949,-0.160907,-32184.4
332,0.143133,1.60211,0.256949,-0.160907,-32184.4
333,0.143133,1.60211,0.256949,-0.160907,-32184.4
334,0.143133,1.60211,0.256949,-0.160907,-32184.4
335,0.143133,1.60211,0.256949,-0.160907,-32184.4
336,0.143133,1.60211,0.256949,-0.160907,-32184.4
337,0.143133,1.60211,0.256949,-0.160907,-32184.4
338,0.143133,1.60211,0.256949,-0.160907,-32184.4
339,0.143133,1.60211,0.256949,-0.160907,-32184.4
340,0.143133,1.60211,0.256949,-0.160907,-32184.4
341,1.14313,1.60211,0.256949,-0.160907,-26784.4
342,-1.4749,1.60211,0.256949,-0.160907,344206
343,0.143133,1.60211,0.256949,-0.160907,-32184.4
344,-0.474901,1.60211,0.256949,-0.160907,166539
345,0.525099,1.60211,0.256949,-0.160907,-29676.3
346,0.324109,1.60211,0.256949,-0.160907,-31103.9
347,-0.092935,1.60211,0.256949,-0.160907,63028.2
348,0.052963,1.60211,0.256949,-0.160907,-12621.9
349,0.21226,1.60211,0.256949,-0.160907,-31949.7
350,0.103954,1.60211,0.256949,-0.160907,-31745.3
351,0.165106,1.60211,0.256949,-0.160907,-32178.7
352,0.152172,1.60211,0.256949,-0.160907,-32194.6
353,0.152915,1.60211,0.256949,-0.160907,-32194.6
354,0.152372,1.60211,0.256949,-0.160907,-32194.7
355,0.152356,1.60211,0.256949,-0.160907,-32194.7
356,0.152355,1.60211,0.256949,-0.160907,-32194.7
357,0.152355,1.60211,0.256949,-0.160907,-32194.7
358,0.152355,1.60211,0.256949,-0.160907,-32194.7
359,0.152355,1.60211,0.256949,-0.160907,-32194.7
360,0.152355,1.60211,0.256949,-0.160907,-32194.7
361,0.152355,1.60211,0.256949,-0.160907,-32194.7
362,0.152355,1.60211,0.256949,-0.160907,-32194.7
363,0.152355,1.60211,0.256949,-0.160907,-32194.7
364,0.152355,1.60211,0.256949,-0.160907,-32194.7
365,0.152355,1.60211,0.256949,-0.160907,-32194.7
366,0.152355,1.60211,0.256949,-0.160907,-32194.7
367,0.152355,1.60211,0.256949,0.839093,-30761.1
368,0.152355,1.60211,0.256949,-1.77894,nan
369,0.152355,1.60211,0.256949,-0.160907,-32194.7
370,0.152355,1.60211,0.256949,-0.778941,-11637
371,0.152355,1.60211,0.256949,0.221059,-32002.5
372,0.152355,1.60211,0.256949,0.022626,-32133.3
373,0.152355,1.60211,0.256949,-0.265442,-32193.8
374,0.152355,1.60211,0.256949,-0.209821,-32198.3
375,0.152355,1.60211,0.256949,-0.210502,-32198.3
376,0.152355,1.60211,0.256949,-0.212309,-32198.3
377,0.152355,1.60211,0.256949,-0.212185,-32198.3
378,0.152355,1.60211,0.256949,-0.212183,-32198.3
379,0.152355,1.60211,0.256949,-0.212183,-32198.3
380,0.152355,1.60211,0.256949,-0.212183,-32198.3
381,0.152355,1.60211,0.256949,-0.212183,-32198.3
382,0.152355,1.60211,0.256949,-0.212183,-32198.3
383,0.152355,1.60211,0.256949,-0.212183,-32198.3
384,0.152355,1.60211,0.256949,-0.212183,-32198.3
385,0.152355,1.60211,0.256949,-0.212183,-32198.3
386,0.152355,1.60211,0.256949,-0.212183,-32198.3
387,0.152355,1.60211,0.256949,-0.212183,-32198.3
388,0.152355,1.60211,0.256949,-0.212183,-32198.3
389,0.152355,1.60211,0.256949,-0.212183,-32198.3
390,0.152355,1.60211,0.256949,-0.212183,-32198.3
391,0.152355,1.60211,1.25695,-0.212183,6480.33
392,0.152355,1.60211,-1.36109,-0.212183,-32115.3
393,0.152355,1.60211,0.256949,-0.212183,-32198.3
394,0.152355,1.60211,-0.361085,-0.212183,-31969.8
395,0.152355,1.60211,0.638915,-0.212183,-19949.7
396,0.152355,1.60211,-0.0463687,-0.212183,-32103.4
397,0.152355,1.60211,0.402847,-0.212183,-32145.6
398,0.152355,1.60211,0.209579,-0.212183,-32193.8
399,0.152355,1.60211,0.253536,-0.212183,-32198.2
400,0.152355,1.60211,0.263949,-0.212183,-32198.4
401,0.152355,1.60211,0.262924,-0.212183,-32198.4
402,0.152355,1.60211,0.262869,-0.212183,-32198.4
403,0.152355,1.60211,0.262877,-0.212183,-32198.4
404,0.152355,1.60211,0.262877,-0.212183,-32198.4
405,0.152355,1.60211,0.262877,-0.212183,-32198.4
406,0.152355,1.60211,0.262877,-0.212183,-32198.4
407,0.152355,1.60211,0.262877,-0.212183,-32198.4
408,0.152355,1.60211,0.262877,-0.212183,-32198.4
409,0.152355,1.60211,0.262877,-0.212183,-32198.4
410,0.152355,1.60211,0.262877,-0.212183,-32198.4
411,0.152355,1.60211,0.262877,-0.212183,-32198.4
412,0.152355,1.60211,0.262877,-0.212183,-32198.4
413,0.152355,1.60211,0.262877,-0.212183,-32198.4
414,0.152355,1.60211,0.262877,-0.212183,-32198.4
415,0.152355,1.60211,0.262877,-0.212183,-32198.4
416,0.152355,1.60211,0.262877,-0.212183,-32198.4
417,0.152355,1.60211,0.262877,-0.212183,-32198.4
418,0.152355,1.60211,0.262877,-0.212183,-32198.4
419,0.156385,1.7071,0.274864,-0.199015,-32203.9
420,0.162906,1.87698,0.294259,-0.177709,-32202.9
421,0.156385,1.7071,0.274864,-0.199015,-32203.9
422,0.158876,1.77199,0.282272,-0.190877,-32204.8
423,0.160416,1.81209,0.286851,-0.185847,-32204.5
424,0.159002,1.77527,0.282647,-0.190465,-32204.8
425,0.158974,1.77453,0.282563,-0.190558,-32204.8
426,0.158973,1.77451,0.28256,-0.19056,-32204.8
427,0.158973,1.77451,0.28256,-0.19056,-32204.8
428,0.158973,1.77451,0.28256,-0.19056,-32204.8
429,0.158973,1.77451,0.28256,-0.19056,-32204.8
430,0.158973,1.77451,0.28256,-0.19056,-32204.8
431,0.158973,1.77451,0.28256,-0.19056,-32204.8
432,0.158973,1.77451,0.28256,-0.19056,-32204.8
433,0.158973,1.77451,0.28256,-0.19056,-32204.8
434,0.158973,1.77451,0.28256,-0.19056,-32204.8
435,0.158973,1.77451,0.28256,-0.19056,-32204.8
436,0.158973,1.77451,0.28256,-0.19056,-32204.8
437,0.158973,1.77451,0.28256,-0.19056,-32204.8
438,0.178843,2.05191,0.320159,-0.207046,-32220
439,0.158973,1.77451,0.28256,-0.19056,-32204.8
440,0.178843,2.05191,0.320159,-0.207046,-32220
441,0.210994,2.50074,0.380994,-0.233719,-32231.8
442,0.218898,2.61108,0.39595,-0.240277,-32232.3
443,0.263015,3.22696,0.479428,-0.276878,-32211.3
444,0.218898,2.61108,0.39595,-0.240277,-32232.3
445,0.235749,2.84632,0.427836,-0.254257,-32229.5
446,0.225335,2.70093,0.408129,-0.245617,-32231.8
447,0.218554,2.60627,0.395299,-0.239991,-32232.3
448,0.218312,2.60289,0.39484,-0.23979,-32232.3
449,0.218301,2.60275,0.394821,-0.239782,-32232.3
450,0.218301,2.60274,0.39482,-0.239781,-32232.3
451,0.218301,2.60274,0.39482,-0.239781,-32232.3
452,0.218301,2.60275,0.394821,-0.239781,-32232.3
453,0.218301,2.60275,0.39482,-0.239781,-32232.3
454,0.218301,2.60275,0.39482,-0.239781,-32232.3
455,0.218301,2.60275,0.39482,-0.239781,-32232.3
456,0.218301,2.60275,0.39482,-0.239781,-32232.3
457,0.218301,2.60275,0.39482,-0.239781,-32232.3
458,0.218301,2.60275,0.39482,-0.239781,-32232.3
459,0.218301,2.60275,0.39482,-0.239781,-32232.3
460,0.218301,2.60275,0.39482,-0.239781,-32232.3
461,0.218301,2.60275,0.39482,-0.239781,-32232.3
462,0.222331,2.70774,0.406807,-0.226614,-32226.5
463,0.21178,2.43287,0.375425,-0.261087,-32238.8
464,0.203188,2.20904,0.349871,-0.289159,-32240.4
465,0.201229,2.15799,0.344043,-0.295561,-32239.4
466,0.203188,2.20904,0.349871,-0.289159,-32240.4
467,0.20647,2.29453,0.359632,-0.278437,-32240.9
468,0.208498,2.34737,0.365664,-0.27181,-32240.5
469,0.205883,2.27924,0.357886,-0.280354,-32240.9
470,0.205816,2.27749,0.357686,-0.280575,-32240.9
471,0.20583,2.27785,0.357727,-0.280529,-32240.9
472,0.20583,2.27786,0.357728,-0.280528,-32240.9
473,0.20583,2.27786,0.357728,-0.280528,-32240.9
474,0.20585,2.27839,0.357788,-0.280462,-32240.9
475,0.205838,2.27806,0.357751,-0.280503,-32240.9
476,0.205833,2.27793,0.357736,-0.280519,-32240.9
477,0.205831,2.27788,0.357731,-0.280525,-32240.9
478,0.20583,2.27787,0.357729,-0.280527,-32240.9
479,0.20583,2.27786,0.357728,-0.280528,-32240.9
480,0.20583,2.27786,0.357728,-0.280528,-32240.9
481,0.20583,2.27786,0.357728,-0.280528,-32240.9
482,0.20583,2.27786,0.357728,-0.280528,-32240.9
483,0.20583,2.27786,0.357728,-0.280528,-32240.9
484,0.20583,2.27786,0.357728,-0.280528,-32240.9
485,0.20583,2.27786,0.357728,-0.280528,-32240.9
486,0.20583,2.27786,0.357728,-0.280528,-32240.9
487,0.20583,2.27786,0.357728,-0.280528,-32240.9
488,0.20583,2.27786,0.357728,-0.280528,-32240.9
489,0.20583,2.27786,0.357728,0.719472,59980.1
490,0.20583,2.27786,0.357728,-1.89856,nan
491,0.20583,2.27786,0.357728,-0.280528,-32240.9
